name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Northwest Africa 3126,31254,Valid,LL3.7,173.0,Found,2001.0,,,
LaPaz Icefield 04605,45163,Valid,L5,63.0,Found,2004.0,,,
Yamato 980593,37216,Valid,L3,10.913,Found,1998.0,,,
Queen Alexandra Range 97279,20737,Valid,LL5,27.3,Found,1997.0,-84.0,168.0,"(-84.0, 168.0)"
Elephant Moraine 90798,9207,Valid,L6,20.9,Found,1990.0,-76.28535,156.44404,"(-76.28535, 156.44404)"
Yamato 791406,26755,Valid,H4,2048.0,Found,1979.0,-71.5,35.66667,"(-71.5, 35.66667)"
Wisconsin Range 91628,24318,Valid,L6,150.1,Found,1991.0,-86.51027,-122.9522,"(-86.51027, -122.9522)"
MacAlpine Hills 02954,15233,Valid,L5,13.16,Found,2002.0,,,
Asuka 881874,4583,Valid,LL3,87.49,Found,1988.0,-72.0,26.0,"(-72.0, 26.0)"
Yamato 791391,26740,Valid,L6,3.03,Found,1979.0,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 791220,26569,Valid,H4/5,31.03,Found,1979.0,-71.5,35.66667,"(-71.5, 35.66667)"
Lewis Cliff 93850,14572,Valid,H6,1.2,Found,1993.0,-84.27378,161.68545,"(-84.27378, 161.68545)"
Yamato 980011,36637,Valid,CV3,9.217,Found,1998.0,,,
Summit,23744,Valid,"Iron, IIAB",1000.0,Found,1890.0,34.2,-86.48333,"(34.2, -86.48333)"
Lewis Cliff 87228,13691,Valid,H6,2.4,Found,1987.0,-84.357,161.36443,"(-84.357, 161.36443)"
Queen Alexandra Range 99817,22263,Valid,LL6,0.5,Found,1999.0,-84.0,168.0,"(-84.0, 168.0)"
Queen Alexandra Range 99160,21612,Valid,LL5,16.4,Found,1999.0,-84.0,168.0,"(-84.0, 168.0)"
Asuka 882014,4723,Valid,L,45.21,Found,1988.0,-72.0,26.0,"(-72.0, 26.0)"
Queen Alexandra Range 99909,22353,Valid,LL5,1.4,Found,1999.0,-84.0,168.0,"(-84.0, 168.0)"
Grove Mountains 022099,49946,Valid,L6,2.55,Found,2003.0,-72.77917,75.31056,"(-72.77917, 75.31056)"
Bates Nunataks 00301,4959,Valid,H3.3,33.8,Found,2000.0,-80.25,153.5,"(-80.25, 153.5)"
MacAlpine Hills 041181,36278,Valid,L5,1.1,Found,2004.0,,,
Pecora Escarpment 91293,18584,Valid,L6,8.1,Found,1991.0,-85.691,-68.96836,"(-85.691, -68.96836)"
Queen Alexandra Range 99325,21775,Valid,LL5,52.4,Found,1999.0,-84.0,168.0,"(-84.0, 168.0)"
Miller Range 05048,44449,Valid,L5,197.2,Found,2005.0,,,
Roberts Massif 04142,44605,Valid,H6,101.4,Found,2004.0,,,
Allan Hills A78069,1685,Valid,H6,4.4,Found,1978.0,-76.71667,159.66667,"(-76.71667, 159.66667)"
Yamato 980814,37437,Valid,H6,12.976,Found,1998.0,,,
Northwest Africa 4425,45440,Valid,CK3,579.0,Found,2006.0,,,
Yamato 74123,24501,Valid,Ureilite,69.9,Found,1974.0,-71.82806,36.20556,"(-71.82806, 36.20556)"
Yamato 983261,39883,Valid,H6,9.49,Found,1998.0,0.0,0.0,"(0.0, 0.0)"
Yamato 981304,37926,Valid,L3,102.79,Found,1998.0,0.0,0.0,"(0.0, 0.0)"
Grove Mountains 054856,50659,Valid,L6,1.58,Found,2006.0,-72.99889,75.18722,"(-72.99889, 75.18722)"
Grove Mountains 021911,49906,Valid,H5,0.45,Found,2003.0,-72.7769,75.3264,"(-72.7769, 75.3264)"
Ramlat as Sahmah 422,55659,Valid,H3.7-5,3879.0,Found,2010.0,20.5052,56.48438,"(20.5052, 56.48438)"
Pasamonte,18110,Valid,Eucrite-pmict,5100.0,Fell,1933.0,36.21667,-103.4,"(36.21667, -103.4)"
Grove Mountains 053128,50503,Valid,L5,3.26,Found,2006.0,-72.76944,75.3375,"(-72.76944, 75.3375)"
Forsyth,10164,Valid,L6,16300.0,Fell,1829.0,33.01667,-83.96667,"(33.01667, -83.96667)"
LaPaz Icefield 02291,12558,Valid,H5,3.49,Found,2002.0,-86.36667,-70.0,"(-86.36667, -70.0)"
Yamato 74324,24702,Valid,H5,0.54,Found,1974.0,-71.5,35.66667,"(-71.5, 35.66667)"
LaPaz Icefield 02419,12686,Valid,LL5,17.54,Found,2002.0,-86.36667,-70.0,"(-86.36667, -70.0)"
O'Malley 002,54931,Valid,L5,4.6,Found,2011.0,-30.99311,131.33253,"(-30.99311, 131.33253)"
Sayh al Uhaymir 293,34042,Valid,H5,613.0,Found,2004.0,20.60837,57.16007,"(20.60837, 57.16007)"
Frontier Mountain 84002,10364,Valid,L6,48.2,Found,1984.0,-72.95488,160.47328,"(-72.95488, 160.47328)"
Elephant Moraine 83224,7866,Valid,CM2,8.6,Found,1983.0,-76.31222,157.39528,"(-76.31222, 157.39528)"
Yamato 792055,27404,Valid,H4,24.2,Found,1979.0,-71.5,35.66667,"(-71.5, 35.66667)"
Frontier Mountain 03097,30653,Valid,H4,0.74,Found,2004.0,-72.95222,160.50161,"(-72.95222, 160.50161)"
